Username,Subscribe Date,Current Tier,Tenure,Streak,Sub Type,Founder
alberto_olea,2026-08-27T23:35:51Z,Tier 1,1,1,gift,false
iskyish,2021-12-03T18:29:37Z,Tier 3,58,58,recurring,false
hikari_highwind,2024-09-14T21:23:08Z,Tier 1,25,25,recurring,false
loguast,2026-03-09T20:15:47Z,Tier 1,7,7,recurring,false
magikarpbd,2025-09-15T02:18:54Z,Tier 1,16,15,recurring,false
omegatrow,2026-08-25T22:12:13Z,Tier 1,1,1,prime,false
andycd6,2026-08-02T19:28:52Z,Tier 1,2,2,recurring,false
santignzz7,2026-08-26T22:37:19Z,Tier 1,1,1,gift,false
alexie_vr,2026-07-31T15:43:56Z,Tier 1,12,12,recurring,false
oscar_gtz,2026-08-23T04:33:02Z,Tier 1,5,5,prime,false
guti,2026-03-23T12:50:34Z,Tier 1,18,16,recurring,false
para__mada,2026-08-26T18:08:50Z,Tier 1,1,1,prime,false
hrsnfbrn,2026-08-26T22:38:39Z,Tier 1,1,1,gift,false
moyblack,2026-08-28T21:45:06Z,Tier 1,1,1,recurring,false
frijolreyes,2026-07-23T22:30:49Z,Tier 1,2,2,recurring,false
mgx_jonyxd777,2026-08-28T21:36:04Z,Tier 1,2,1,gift,false
delphrost,2026-08-13T23:33:41Z,Tier 1,2,2,recurring,false
grima9312,2026-08-28T23:24:17Z,Tier 1,21,10,recurring,false
papabatt_,2026-09-05T02:05:45Z,Tier 1,1,1,recurring,false
mgxmu,2026-08-26T22:47:04Z,Tier 1,2,1,gift,false
rassnic_,2026-09-06T05:02:11Z,Tier 1,1,1,recurring,false
mik004,2026-08-26T22:40:11Z,Tier 1,1,1,recurring,false
iserenia,2026-08-26T23:22:06Z,Tier 1,1,1,gift,false
0liveer___,2026-08-26T22:44:48Z,Tier 1,2,2,gift,false
nightbot,2026-08-24T23:13:38Z,Tier 1,52,23,gift,false
nairb__25,2026-09-04T23:11:28Z,Tier 1,3,2,gift,false
josephomor1_,2026-08-26T22:44:26Z,Tier 1,1,1,gift,false
rayiworld,2026-08-27T21:49:19Z,Tier 1,2,1,prime,false
julio_hernandez_,2026-08-26T22:46:07Z,Tier 1,2,1,gift,false
exderubyqon,2026-08-26T22:58:40Z,Tier 1,1,1,gift,false
scarcee,2026-08-26T22:37:33Z,Tier 1,1,1,recurring,false
arisuumy,2026-08-26T22:44:26Z,Tier 1,1,1,gift,false
osirysvx,2026-09-13T23:42:09Z,Tier 1,2,1,gift,false
zarfet,2026-09-18T23:36:07Z,Tier 1,18,18,recurring,false
siulselasor,2026-09-04T23:14:26Z,Tier 1,4,1,gift,false
robertocarlo_rccs,2026-09-02T00:19:32Z,Tier 1,1,1,gift,false
poke_dachii,2026-09-05T02:09:57Z,Tier 1,1,1,gift,false
erichugoz,2026-09-05T02:05:39Z,Tier 1,1,1,gift,false
sooyleeo,2026-09-05T02:05:39Z,Tier 1,1,1,gift,false
stevebd_,2026-08-26T23:42:26Z,Tier 1,1,1,recurring,false
luisghdz958,2026-09-06T02:24:00Z,Tier 1,1,1,prime,false
elretah,2026-08-27T01:00:35Z,Tier 1,2,1,gift,false
axlbenitez2,2026-09-04T23:05:39Z,Tier 1,1,1,recurring,false
xmabelssx,2026-08-26T23:36:19Z,Tier 1,20,1,gift,true
kingczar14,2026-09-05T02:05:39Z,Tier 1,1,1,gift,false
katity13,2026-09-08T22:10:42Z,Tier 1,2,2,recurring,false
cachogame3r,2026-08-29T00:28:00Z,Tier 1,1,1,prime,false
sophie_xidd,2026-09-05T02:09:57Z,Tier 1,1,1,gift,false
mrphonziedk,2026-08-26T21:18:12Z,Tier 1,8,1,recurring,false
nitroflash7f,2026-09-04T23:10:39Z,Tier 1,1,1,gift,false
carolynagmez,2026-09-11T15:04:24Z,Tier 1,2,2,prime,false
axelarenas21,2026-06-18T21:42:30Z,Tier 1,8,8,recurring,false
nib_mgx,2026-08-26T22:42:59Z,Tier 1,1,1,gift,false
marcosluna131,2026-09-05T02:05:39Z,Tier 1,1,1,gift,false
santii_44,2026-09-05T02:05:39Z,Tier 1,1,1,gift,false
ischulo23,2026-09-12T01:02:31Z,Tier 1,5,5,recurring,false
dsaswunborn,2026-09-13T23:42:09Z,Tier 1,1,1,gift,false
pumamhbt,2026-09-11T23:23:49Z,Tier 1,21,2,prime,false
brandonstark007,2026-09-13T23:42:09Z,Tier 1,1,1,gift,false
francsc5,2026-09-04T23:53:09Z,Tier 1,14,1,recurring,false
alexsalazarr,2026-09-11T22:36:57Z,Tier 1,2,2,recurring,false
hhenry24,2026-09-13T23:42:09Z,Tier 1,2,1,gift,false
lordbasti,2026-09-05T02:04:44Z,Tier 1,1,1,recurring,false
barber29,2026-08-26T22:44:26Z,Tier 1,1,1,gift,false
oscar_prz7,2026-09-20T22:54:53Z,Tier 1,1,1,recurring,false
perezs_3,2026-09-13T23:42:09Z,Tier 1,1,1,gift,false
