Miembro,Vínculo al perfil,Nivel actual,Tiempo total en el nivel (meses),Tiempo total como miembro (meses),Última actualización,Marca de tiempo de la última actualización
Sprincet,https://www.youtube.com/channel/UCszYOJj7sG49GEaDT58rYsw,Queriditos,6.13333,6.13333,Se volvió a unir,2026-09-18T01:08:26.093-07:00
chulo13,https://www.youtube.com/channel/UC4WDD8TysLiICbVIkAD4ESA,Queriditos,7.3,7.3,Se volvió a unir,2026-09-12T17:49:49.951-07:00
Blizzard dominator universal,https://www.youtube.com/channel/UCOunqLT5ZQvPnt9jalvWm9A,Queriditos,0.870968,0.870968,Se unió,2026-08-25T20:00:05.733-07:00
Aridane Robayna,https://www.youtube.com/channel/UCZbUlEASUG7crYyiwgCDtDw,Queriditos,6.4,6.4,Se volvió a unir,2026-06-09T22:55:49.892-07:00
Axl Gervacio,https://www.youtube.com/channel/UCi9LTOsJyrkj6W-3dnfvuQA,Queriditos,5.66667,5.66667,Se volvió a unir,2026-06-01T21:36:26.747-07:00
marcos javier moreno,https://www.youtube.com/channel/UCnMnmyKeQQp9PrzX5XEhJdA,Queriditos,6.74194,6.74194,Se volvió a unir,2026-04-30T09:17:15.066-07:00
Kanekiillo,https://www.youtube.com/channel/UCzV63fcrixNX3dTYwsOgRcg,Queriditos,5.5,5.5,Se unió,2026-04-06T21:51:21.634-07:00
Mateo Valentino Lorenzoni,https://www.youtube.com/channel/UC4nKG496_QnURdZhk-UNNwQ,Queriditos,7.1,7.1,Se unió,2026-02-18T17:43:58.219-08:00
pango ambrosio,https://www.youtube.com/channel/UC8clnjZseq0kzW2htb8S5fg,Queriditos,7.13333,7.13333,Se unió,2026-02-17T17:44:45.095-08:00
Hikari_Highwind,https://www.youtube.com/channel/UC59idKjtD3UC6ydYERGpAOQ,Queriditos,7.3,7.3,Se unió,2026-02-12T16:44:31.587-08:00
