Username,Subscribe Date,Current Tier,Tenure,Streak,Sub Type,Founder
streamlabs,2021-06-17T20:57:56Z,Tier 3,64,64,recurring,false
axta96,2026-07-16T14:10:34Z,Tier 1,40,36,recurring,false
ferchu3g,2024-09-14T05:23:03Z,Tier 1,27,25,recurring,false
deadgajo,2026-01-24T01:54:32Z,Tier 1,25,25,recurring,false
tincho14___,2026-08-24T21:00:54Z,Tier 1,2,1,prime,false
ianaros,2025-05-12T00:14:51Z,Tier 1,17,17,recurring,false
rip_dxrky,2026-08-03T23:36:42Z,Tier 1,2,2,recurring,false
grima9312,2026-07-23T01:38:50Z,Tier 1,11,5,recurring,false
jfloresh,2024-03-17T02:28:51Z,Tier 1,45,31,recurring,false
aloxparatodos,2025-02-23T22:07:51Z,Tier 1,73,73,recurring,false
kenneth8pro,2026-08-27T22:38:22Z,Tier 1,30,1,gift,false
connynee606,2024-11-16T02:11:02Z,Tier 1,46,45,recurring,false
jaaskier71,2026-04-10T00:11:35Z,Tier 1,6,6,recurring,false
ntjamon28,2026-08-19T04:37:25Z,Tier 1,2,2,recurring,false
bnzi18,2026-08-28T01:17:55Z,Tier 1,2,1,gift,false
thanatos9720,2026-08-27T21:00:52Z,Tier 1,2,1,prime,false
javitofficial,2026-04-11T20:16:03Z,Tier 1,18,6,recurring,false
fran_sartori,2026-05-24T01:10:40Z,Tier 1,31,4,recurring,false
berserker1045,2026-09-05T02:07:01Z,Tier 1,1,1,gift,false
starkillerx,2026-08-28T00:04:18Z,Tier 1,1,1,prime,false
griss_v1,2026-08-22T22:37:33Z,Tier 1,13,1,recurring,false
camilomaister,2026-08-28T02:53:39Z,Tier 1,48,1,recurring,false
hhenry24,2026-08-28T17:55:01Z,Tier 1,3,1,gift,false
iskyish,2026-08-23T23:23:37Z,Tier 1,17,14,prime,false
zarfet,2026-08-26T17:20:12Z,Tier 1,22,22,prime,false
kingczar14,2026-08-28T01:17:55Z,Tier 1,1,1,gift,false
mati1288,2025-12-10T19:35:22Z,Tier 1,64,10,recurring,false
metapodparapresidente,2026-08-29T04:54:55Z,Tier 1,9,1,gift,false
jojoshua_joestar077,2026-05-23T22:30:35Z,Tier 1,26,25,recurring,false
zardecay,2026-08-28T17:56:06Z,Tier 1,2,1,recurring,false
jaby_g,2026-07-05T08:02:34Z,Tier 1,3,3,recurring,false
pinkiloi,2026-08-27T22:45:21Z,Tier 1,31,1,gift,false
pablo_matiaz,2026-08-31T02:28:42Z,Tier 1,8,1,recurring,false
markitosv,2026-08-28T16:35:45Z,Tier 1,1,1,recurring,false
pevarro822,2026-08-28T19:20:53Z,Tier 1,1,1,gift,false
copiclol,2026-08-27T22:39:51Z,Tier 1,31,1,gift,false
josegarcia91,2026-08-31T01:02:08Z,Tier 1,15,1,recurring,false
mk_sirius12,2026-09-05T02:07:01Z,Tier 1,1,1,gift,false
fedelo_27,2026-08-28T21:06:11Z,Tier 1,1,1,prime,false
jhoneto92,2026-08-28T19:20:53Z,Tier 1,1,1,gift,false
perezs_3,2026-08-28T17:55:02Z,Tier 1,1,1,gift,false
hectornayib,2026-08-28T01:17:55Z,Tier 1,3,1,gift,false
yebhu,2026-08-28T17:55:02Z,Tier 1,1,1,gift,false
manuelrubianes7,2026-09-05T02:07:01Z,Tier 1,1,1,gift,false
moyblack,2026-08-31T01:48:29Z,Tier 1,1,1,recurring,false
e_pany,2026-08-28T17:50:54Z,Tier 1,7,1,recurring,true
acido2211,2026-08-28T19:20:53Z,Tier 1,1,1,gift,false
tintinandreew,2023-10-28T23:33:04Z,Tier 1,37,35,recurring,false
ghostlybroccoli,2026-09-05T02:07:01Z,Tier 1,1,1,gift,false
seraphew,2026-09-05T02:07:01Z,Tier 1,1,1,gift,false
ggoldenarcanine,2026-09-18T01:40:25Z,Tier 1,8,1,prime,false
guti,2017-07-18T21:16:57Z,Tier 3,111,111,recurring,false
luluzo_cr,2026-09-20T01:04:24Z,Tier 1,3,1,prime,false
elpayosinson,2026-08-28T19:20:53Z,Tier 1,1,1,gift,false
ursajhon,2026-07-16T01:36:48Z,Tier 1,33,7,recurring,false
judini,2026-09-07T23:42:33Z,Tier 1,3,1,recurring,false
squintanilla,2026-08-28T19:20:53Z,Tier 1,1,1,gift,false
lordbasti,2026-09-05T01:32:11Z,Tier 1,1,1,recurring,false
angelberto_12,2026-09-22T02:08:57Z,Tier 1,51,47,prime,false
jojoshua_joestar077,2026-09-18T01:54:16Z,Tier 2,26,25,recurring,false
v_vic,2026-09-20T01:15:03Z,Tier 1,1,1,prime,false
checo512,2026-09-19T05:57:09Z,Tier 1,79,79,prime,true
aether_atomic,2026-09-08T23:19:03Z,Tier 1,42,1,prime,false
fernandux22,2026-09-08T22:28:15Z,Tier 1,1,1,gift,false
slayerheart_,2026-09-08T22:28:15Z,Tier 1,1,1,gift,false
nightbot,2021-06-17T20:57:51Z,Tier 3,64,64,recurring,false
m1nd_re4der,2026-09-08T22:27:13Z,Tier 1,1,1,recurring,false
aideeisabel,2026-08-28T17:01:01Z,Tier 1,1,1,gift,false
